pc,delta
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,0
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-192
94685453736652,192
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,40
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,40
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,40
94685453739289,-40
94685453737161,-216
94685453736660,216
94685453737161,0
94685453737161,8
94685453736698,-8
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-176
94685453736640,176
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-176
94685453736640,-80
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-1023254678792
94685453736968,2004038704
94685453736974,-2103907872
94685453736974,2518620992
94685453736968,-798699264
94685453736968,-2172033984
94685453736968,563507280
94685453736968,-541574016
94685453736996,1443267936
94685453736968,-59951592508
94685453736924,59713072972
94685453736968,1323547152
94685453736968,-1037450400
94685453736968,-861516096
94685453736968,3022059232
94685453737011,-1900174432
94685453736968,-52229779148
94685453736924,50912503612
94685453737057,3159726880
94685453736968,-1557061200
94685453736968,953000256
94685453736968,-3051444160
94685453736749,3618301936
94685453736968,-799291760
94685453736974,-756312648
94685453737084,-1623850952
94685453737057,1578634144
94685453736996,832070544
94685453736968,746760624
94685453736968,-853823952
94685453736968,1114163328
94685453736968,-2221785696
94685453736996,-1331850048
94685453736968,3560013744
94685453736968,-1095150600
94685453736988,-2517188808
94685453736968,835209360
94685453736968,-512998896
94685453736968,1075686784
94685453737011,-113129211892
94685453736924,115491058740
94685453736996,-962909504
94685453737011,-2677024816
94685453736968,222253680
94685453736968,774310320
94685453736968,1882376832
94685453736968,-1774099360
94685453737057,-804550576
94685453736974,2285382224
94685453736968,-2087575632
94685453736968,-33904944
94685453736996,3051054648
94685453736988,-2265051528
94685453736968,-1532264520
94685453736988,-633191776
94685453736749,4433013928
94685453736968,-237137088
94685453736968,-87448310968
94685453736924,86264404936
94685453736968,-644545536
94685453736968,1354230384
94685453736968,804122976
94685453736968,-4321073088
94685453736749,661494832
94685453737011,2198512096
94685453737057,-46243616
94685453736968,-489462072
94685453737041,-1434143064
94685453736968,1700229312
94685453736968,-740640816
94685453736968,-1099820256
94685453736968,212977584
94685453736968,2857127808
94685453736968,-116236246772
94685453736924,115605948324
94685453736974,1109291664
94685453737011,-181719760
94685453736968,-472111344
94685453736968,316763424
94685453736996,-3309725584
94685453737057,2518864320
94685453737057,-2957543520
94685453736749,2039472736
94685453736968,-1104556096
94685453737057,1944242432
94685453736974,-1179337744
94685453736968,2075224848
94685453736968,-3888411792
94685453736749,262914696
94685453736749,309027048
94685453736968,1792183296
94685453736996,-1809635368
94685453737116,2549863264
94685453736988,-2380412856
94685453736968,1878797520
94685453736996,-1142926272
94685453736996,422742144
94685453736968,-99553607840
94685453736924,99403128896
94685453736968,1472401104
94685453736968,-3017294024
94685453736749,-32543267040
94685453736924,34430257160
94685453736968,782228976
94685453736968,1345718640
94685453736996,-1259985408
94685453736996,-500045568
94685453736968,-111184185428
94685453736924,112851313652
94685453736968,-2605189920
94685453736968,-1716112064
94685453736749,2103940496
94685453736996,-1141915888
94685453737057,2437448992
94685453736968,-2763023904
94685453736968,2828606784
94685453736968,509762048
94685453737057,-2477996288
94685453736968,-888330112
94685453737057,1738148416
94685453736968,1706057776
94685453737011,-1002518848
94685453736968,-2285655280
94685453737057,1477926832
94685453736996,-1141486464
94685453736968,1473895344
94685453736968,915466464
94685453736968,-1447886528
94685453736974,-71922668804
94685453736924,70636120612
94685453736968,1433045584
94685453736974,2220196640
94685453736968,-3375484128
94685453736996,1959688560
94685453736968,535848048
94685453736968,244040592
94685453736996,-2609689872
94685453736996,614694048
94685453736968,-414134256
94685453736968,2107810912
94685453736974,-258482528
94685453737057,-3064768560
94685453736749,4400067136
94685453736968,-2946940320
94685453736968,-561847392
94685453736968,1725858016
94685453737011,968958272
94685453736968,-2534611008
94685453736968,432022864
94685453736974,-248112208
